ids,label
78886,12747.079879076768
35987,121671.62584630077
63576,-27963.65177031349
86537,-1247109.6389522967
45235,-14057.246682036623
87333,-24505.42247672034
94152,-105944.75796605059
31129,-19094.88010154255
52019,-1579.8256518649796
74987,-3219.5376882379405
60601,-14863.465414397975
48864,67715.75900330597
56839,-25942.31129800113
92351,814799.2179814413
53691,-3097.4053127663265
56277,3754735.1900126263
47415,-32160.499982932437
89925,-21976.250565623748
27912,336507.4008618872
33156,-2877.7449824499836
21957,-12816.679367653871
22618,-7253433.836600583
23157,6390.691208628621
46659,-23400.348106416706
55763,-1795.7485705297422
56057,-30294.380007474683
39322,-21633.70028774457
68624,10780.257114581365
73726,-740795.7671360187
95124,672271.9183876636
65775,151856.35000894332
53215,-22126.975057073192
36737,51940.26264643293
27447,-428115.1778485578
80796,-187774.6776269904
40388,-261248.28280467546
26922,551886.304982941
81620,-15546.64153092868
26278,-71239.15523481045
53469,-1621718.976656021
77087,-6236.092442621613
85244,385117.8060537962
63105,16928.585275932506
78427,-445097.0022624638
97984,-748350.9040677127
28980,-12899.360410216983
73855,-897949.2537752474
47591,-17329.993189253124
57106,-524.8273259612452
47500,-34315.35711744348
44835,7892.150369597379
90757,-8225.674354212259
97176,-25112.912715349346
41537,9322.347014880348
22956,8121.420025413578
95701,-17633.254498831382
67922,909735.0548822572
24559,-31059.888326259737
73761,372410.8798286046
39147,-25300.525601743342
46094,-29821233.359411523
52770,1484699.9111753262
31661,-37061.82991714469
23741,12507.298615493311
64853,-25984.42525614411
72773,1040.8667616818911
57769,-834341.1472655789
49782,15877555.692602288
89731,383.70040494253226
41818,1224.0527623576
46504,40933.700036810296
86919,-239036.9913774637
73880,-22551.8165337771
51783,-15104.405647334605
90591,-18456.366247140548
39665,665337.72057562
41250,-34838.72240692374
87620,-21386.81350051766
37381,-18294.85153335741
67635,-23659.363449024466
84260,-33340.315570764324
92796,-27815.755536851553
35309,182915.8349066102
76981,-23470.544259629474
76980,-7139937.021810295
26980,49863.84319388976
25198,95388.4513803184
27096,167228.47999181863
48315,168125.3314832415
93000,20861.41996588782
85031,-61364.813101923624
38845,-78205.47534010105
45388,20536.169974703305
42315,-21410.10878398986
43054,-30149.990939963012
90803,-29081.731733647066
38264,-11834.367301555796
47426,216174.34014890742
85706,-26433.830182955127
27661,17207.081891173984
86289,-127008.83835809573
55925,15071.180123190838
87075,-254603.6771998883
99203,19888.6613284599
71403,-4180.340396127907
29700,-20687.849936816943
47681,6589.286327132759
76007,-110228.40589437408
42032,-6102.106608451721
95819,-13963.949057345575
52726,159602.4680187437
95064,-129561.83675974984
78634,-26991.302086557764
77593,-221962.99250428166
71170,-105339.07773352733
32468,3124.6923509632143
