ids,predicted_label
96396,15.27026757472948
80166,197.04757980242147
20516,93.23111281633393
88881,-91.65882742506803
69115,23.127318188991353
34026,23.47412782972036
67527,-278.7731659765537
56721,428.16643599134966
28608,355.34030360379467
28334,-107.34385932968091
87664,151.4937448214733
72786,329.28672238507085
80407,-400.87129508219493
32761,-492.36665273931055
68286,-131.7365611497169
95072,72.60049987348488
72666,-26.887411713272527
27143,-216.0256532739995
62370,101.45562084723231
55971,114.69731457377831
29303,115.21183135124885
63140,29.496618187683403
74846,272.626989640023
63080,-226.37842169376498
85080,47.75621122065175
34589,219.111016983711
49242,-211.58142211578266
67716,-20.756386056329994
32005,-39.12872212651898
43883,-183.15582784633463
85715,226.8970997597292
71800,-250.79691006204624
36002,-70.48797411061928
54860,-3.3738834290968702
39619,287.2315605958439
24485,64.0989168125057
42968,111.64827037918414
90358,389.4936959965757
63239,270.6143598793456
57246,-19.07632863167713
50693,287.54169993550346
65390,64.94045367184503
20540,8.81739391644819
56895,-162.72368922464366
71065,284.949320024237
75234,-65.80328994825955
41935,-151.6416204948389
32693,-40.13776541628456
67988,-27.228528764058275
88791,-227.28412523498952
72735,158.34896441239104
64794,-515.0080844930264
35454,24.310680052354957
38951,134.20262779262842
81717,-39.62759635548495
57884,-115.79734086318531
76705,-67.29698911402836
47833,341.5531559078199
99486,183.7865198314814
47395,-77.99044190603195
23991,-55.35737696408491
63763,182.36367707551315
99349,-304.45475149381866
27558,267.7193444440022
66769,98.89303260459361
89764,2.8626931132906424
54980,542.6001557802136
51294,179.98271883308215
70244,-267.0407210518709
49075,178.5411552590499
98437,157.53723797441774
57230,95.01860345997856
24196,318.811932551547
55183,-135.46926698747575
84312,135.89388778486224
51734,-77.88243630837091
73339,-48.34042207872272
67330,143.03928039638322
61216,6.59106189386882
72404,244.55739162361917
79114,347.5184821181003
44385,96.87700368069964
98063,124.66755039425462
20349,-164.42857177580896
96932,133.98844223813637
58683,-145.15517235719616
69040,41.29273899200458
41442,295.6601440381789
66475,-187.86016576375806
79658,362.80940330336114
56649,39.5331380457871
61240,-265.1394045414565
96033,149.0961679267109
99245,158.79886885071568
20648,-74.47078491281114
50648,-212.07793438725207
87338,145.25830860727615
33589,161.2910467128945
23186,-206.42114232158306
40010,74.76556864033917
71044,-128.04651800044758
23216,365.73927849930527
24280,-257.12137951422335
97928,127.32879631465394
73416,273.4042656207396
68763,-40.424914515194835
84907,-225.39303958861845
69395,-197.42979999217474
77138,132.04992344901854
43291,344.154119510871
58769,28.53107663425684
49627,-395.38300201606216
57906,163.01556512457637
47294,111.31131644036668
83627,13.584219842758323
49382,-21.678837355817294
58363,82.27874556548694
38265,-27.849657235702068
29970,-251.3492875659395
93967,87.0568430180806
99721,-76.59990811607527
37098,-128.16684701564313
92351,12.401232021638727
53202,182.43763329172685
38817,484.7928610515729
60025,-359.9353409236952
53643,-473.5570051555424
35808,-390.63713465305784
32722,248.86172348453917
60170,-297.81211798423345
47326,85.16970726172265
52201,-105.73198449165501
58707,-159.99598864236864
72765,348.79277321383614
33978,84.28769140121494
72425,72.73785515799023
60947,-172.42731265698578
38235,-109.47022597810728
88935,217.073434762804
74627,-66.78471332235524
31009,-502.21661483760795
76856,-25.009773475075754
54229,53.87769568309404
85918,262.51141440715145
44079,445.92585101419655
38910,185.4287279399355
76345,109.6807629254233
42062,191.80262818125706
29490,-122.17506932028174
22717,387.12888870125227
26697,371.6565859037196
46733,-58.702133550548744
39301,173.7163448370906
87635,-148.9192958695578
34691,-176.9134847703684
52901,127.23489696028994
87185,188.1978281165589
42281,423.22083738296635
27797,143.15096169714886
55406,281.52108811471857
75105,161.6998717247093
51556,-284.7485050687974
97880,2.0730173558973712
93000,-275.13920195183687
68545,151.38604888275685
51358,2.0670747656843966
39938,-84.131422517237
97085,23.240440913780226
21845,246.48548053373705
82307,199.86147358883315
40954,-251.56241419058543
20156,-186.05596224700892
75014,-147.1577369575692
38301,-189.7899929937481
75898,260.30386542657754
65475,336.96101498193815
45301,498.7183067672466
82246,383.7562998836907
20961,89.85060158263519
32857,334.452997295537
45155,336.06761070737707
46966,81.8392440382653
48582,-108.61897822671722
20863,-51.942791712439735
47535,293.5978633557741
70839,-385.94949443489327
62605,-203.79470959584916
